year,name,fraction,sex,rank
2009,Leonardo,0.001116,m,164
2009,Vivian,0.00097,f,164
2009,Asher,0.001109,m,165
2009,Amanda,0.000967,f,165
2009,Malachi,0.001108,m,166
2009,Diana,0.00096,f,166
2009,Jace,0.001105,m,167
2009,Lila,0.000955,f,167
2009,Derek,0.001088,m,168
2009,Shelby,0.000955,f,168
2009,Kaiden,0.001086,m,169
2009,Danielle,0.000954,f,169
2009,Ricardo,0.001086,m,170
2009,Scarlett,0.000949,f,170
2009,Jaiden,0.00107,m,171
2009,Adrianna,0.000946,f,171
2009,Grayson,0.001065,m,172
2009,Alana,0.00094,f,172
2009,Andres,0.001064,m,173
2009,Harper,0.00094,f,173
2009,Braxton,0.001056,m,174
2009,Summer,0.000938,f,174
2009,Jaylen,0.001053,m,175
2009,Makenzie,0.000937,f,175
2009,Wesley,0.001043,m,176
2009,Catherine,0.000933,f,176
2009,Travis,0.001037,m,177
2009,Angel,0.000929,f,177
2009,Shane,0.001005,m,178
2009,Alivia,0.000904,f,178
2009,Fernando,0.001003,m,179
2009,Mikayla,0.000903,f,179
2009,Abraham,0.000994,m,180
2009,Aniyah,0.000902,f,180
2009,Maddox,0.000991,m,181
2009,Ana,0.000901,f,181
2009,Jude,0.000988,m,182
2009,Miranda,0.000895,f,182
2009,Francisco,0.000983,m,183
2009,Marissa,0.000887,f,183
2009,Garrett,0.000971,m,184
2009,Amber,0.000876,f,184
2009,Braden,0.000959,m,185
2009,Skylar,0.000874,f,185
2009,Alexis,0.000952,m,186
2009,Cheyenne,0.000874,f,186
2009,Javier,0.000951,m,187
2009,Jayden,0.000872,f,187
2009,Damien,0.000949,m,188
2009,Margaret,0.000872,f,188
2009,Lincoln,0.000949,m,189
2009,Miley,0.000857,f,189
2009,Peter,0.000948,m,190
2009,Delilah,0.000842,f,190
2009,Erick,0.000945,m,191
2009,Julianna,0.000842,f,191
2009,Edwin,0.000933,m,192
2009,Eliana,0.000839,f,192
2009,Josue,0.000932,m,193
2009,Malia,0.000839,f,193
2009,Camden,0.000924,m,194
2009,Erin,0.000837,f,194
2009,Manuel,0.000921,m,195
2009,Elena,0.000832,f,195
2009,Bradley,0.00092,m,196
2009,Sierra,0.000828,f,196
2009,Rylan,0.00092,m,197
